adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
aumentar,fuerza,dolor,['paciencia'],bosque,altura,lavar diente,aruga,confianza,variedad,belleza,vestimento,valentia,manado,laboratorio,blanco azul rojo,afeitar él,peso,estudiante,freddie mercury,tumba,blanco,botellar,amor,dirigir barco,jardín,peligro,choclo,['beber'],bruja,clima,maquín cocer,caribir,cubierto,azucar,cara,porción,azúcar,espiritual,['dulzurar'],persona,ambiente,repentino,molinillo viento,tieso,autoridad,responsabilidad,gusto,horripilante,salvaje,loteer,sangriento,['guerra galaxias'],arma,espinilla,bruja,incontrolable,cambio presión,huella,fuerza,acto influir,sustento,conocer persona,tristeza,plástico,remediar caída,espacio libre,,agua,decepción,encargado,experiencia,dañino,cargo deber,rostro,dios,fusil,moral,unico rey,cubrimiento,yogo,conducir,buen visión,brindar ayuda,banquet,servir levantar objeto pesado,sector alto humedad,['origen grecia'],grande,,generar herida,universo,mucho gente,idea principal película,silla,oficina,expresar él,ilusión,['devolver'],guardar,,problema,['repeticion'],['sueldo'],salubridad,cafe,necesidad apoyo,duro,libre,nombre cancion,niñez,accidente,evento,peso,correcto,noche,amor propio,viaje,botellar,relación
,resistencia,veneno,['estrategia'],carpinterir,poder tomar,bocar,fragilidad,inteligencia,figurar greometrico,magnífico,vestimento,rebeldia,lobo,equilibrio,diferenciar pai,arreglar él,estomago,enfermedad,queir,fallecido,comodo,cocktail,misa,alguien fuerza inteligencia,si sentir amenazado esconder caparazón,oscuridad,papas,['pajaro'],hechacer,trabajo,aguja,all inclusive,protección,comida,estafa,elemento,cafe,guía,['atractivo'],empresa,rodear,aterrador,forma mas común neturaleza,poder ser objeto,expectativa,ticket,pelolais,negro,depredador,cantidad grande dinero,descanso,['estrella'],delicado,punto rojo cara,fogata,impulso,naturaleza,signo,cambio,efecto,trabajo,interaccion,melancolía,gigantografía,elevar objeto,espacio vegetado,,ojo,sentimiento,madre,responsable,persona envidiós,presidencia,sonrisa,catolicismo,relacionado guerra,etico,poder,doble cara,religioso,humedo,lent,exelente pelicular,gran tamaño,aumentar fuerza aplicado,poder ser peligroso persona ingresar,['entidad arquitectonico'],poder tener animal,,poder matar alguien,estrella,sociedad,regla,colegeio,fisicar,premio,igualdad,['volver'],provision,,enojo,['copia'],['practicar'],limpieza,fruta,problema,confiable,permiso,componer aliento,emoción,insulto,único,trato evitar él,verdadero,murcielago,exceso autoestima,avion,poder reemplazar limón ensalado,lazo
,capacidad,picado,['entretención'],leñador,tanto lejos llegar,vapor,tiempo,condicion necesario,linea,pulcrir,facha,atrevido,perro,desequilibrio,país,dinero,guato,paper,pelicular,resto,cama,apuesta,dios,alguien fuerza inteligencia,dejar rastro bar,cavernicolir,flaco,['animal'],gandalf,obrero,hilo,titanic,capa,bonito,mentiroso,cosa pequeño,ternura,demostración,['atrayente'],representante,contexto,incomprensible,estructuralmente fuerte,monumento,dominio,esquivar,cultura,monstruo,selva,ahorro millonarios,festin,['sol'],detonante,usar material construcción,pena muerte religioso,biologico,fuerza,fecha,psu,influencia,sacrificio,,resignación,anuncio,alzar,superficie,,lagrimal,desolación,persona cercano,adulto,rencor,liderancia,cara,jesus,vinculado institución orden,educación,soledad,maldad,divino,poco vision,bien claro,segundo padre,ostentoso,constar barra punto apoyo,imagino mezcla agua lodo,['grande'],poder tener casa,,disparo,sistema solar,espacio,orden,universidad,,prometido,laguna,['vuelta'],repuesto,,,['objeto igual'],['terno'],germen,verdura,solicitar recurso,bien hecho,holgar,breve,miedo,enojo,agradecimeinto,necesario,correspondiente,pelicular,afecto mismo,paisaje,ensalado,amistad dos cosa
,mejorable,ardor,['desarrollo mental'],barba,ranguir,olor malo,experiencia,caracter,conexión,perfección,outfit,fuerte,comunicacion,tensión,patria,estilo vida,comida,profesor,estilo vida,cuerpo,pijamar,tomar cerveza,iglesia pequeño,trabajo equipo,comen hoja,eco,salud,['volar'],pelicular,plantación,costurero,vacación,relacionado fruta verdura,intenso,maldadoso,cosa minúscular,diabetes,reacción,['influencia'],autoridad competente tema,alrededor,grito,tipo pasta,homenaje,grandeza,dificil atacar,,desagrado,gato grande,suerte,locura,['tierra'],pistola,parte importante manto compuesto,calor,amor,rumbo,dirección,sufrimiento,autoridad,poder,,desear cambiar situación,trabajo,construir,llano,,trasparente,condolencia,amigo padre,respetuoso,,cargo,rojo,iglesia,usado militar,respetar,reino,confiable,dios,blanco,bueno,poder tener connotación religiosa,,gata auto,poder habitar cocodrilo,['imponente'],término descriptivo,,relacionado guerra,luna,persona,supuesto,estudiante,,obtener,espejo,,almacenamiento,,,['similar'],['puntualidad'],cuidado,delicadar,llamado,,comodidad,calir,ansioso,,veloriir,mamá,considerado así,morder,valoración alto si mismo,aventura,aceite,cercanir
,cancion,puntiagudir,['silencio'],camisa cuadro,influencia,lavar él diente,pesar,personalidad,,natural,presentación personal,empoderado,bosque,masa,movimiento social,trabajo,hinchazón,universidad,bohemiar rhapsody,descomponer,largo,tiendar antiguo,confesión,pelicular marvel,animal,bosque,greda,['engaño'],maldad,producto,moda,verano,relacionado fruta verdura,placer,robo,aspecto pequeño,cariño,color,['coqueto'],animal,situación,efímero,nombre peligroso fenómeno marítimo,recordar,agradar,trampa,,malo,peludo,felicidad,terror,['sistema solar'],accion,aparecer cara adolescente adulto,combustión,adolecencia,incierto,guía,,dominante,beneficio,,arrepentimiento,hong kong,enderezar,tierra,,representación sentimiento,situación negativo,,crecimiento,,letra,suave,cura,importante estrategia militar,regla social,subdito,injusto,agua hierba,humo,bien hecho,poder tener connotación legal,,mecánico movimiento,poder ser dificil identificar,['blanco'],poder referir él lote,,generar miedo,galaxias,terreno,hipotesis,madera,,queja,laguna,,cautela,,,['imitación'],['banco'],higienir,contener vida,grito auxilio,,,preocupación,callado,,nostalgía,doctor,aprobado,serie,desear halago,maleta,agrio,junto cosa
,calle 13,metal,['concentración'],cabaña,poder,hablar cerca,calidez,modo pensar,,blanco,estilo,habil,noche,peso,representación,pelo,grasa,vida,leyenda,entierro,mujer,hombre,jesucristir,claudio bravo,moluscir,profundidad,pollo,['blanco negro'],demonio,producción,cierre,traje baño,fruta poseer,sabor,traición,característico chico,cercanir,aura,['seductor'],ser presente,cerca,reflejo,usar dibujar cola cerdo caricatura,figurar metal,mucho estimar,,,monstruo,garra,bienestar económico,peligro,['astronauta'],confirmacion,usado describir pequeño cantidad,divertido,cuerpo,incertidumbre,camino,,persona influyo,moneda,,llanto,luz,sublevar él,cemento,,pena,llanto,,superación niñez,,disctadurar,pompar beber,fe,poder disparar avión,manual carreño,concentracion poder,malo intencion,fundamentar,clima,cumplido,autoridad,,subir baja juego infantil,agua estancado,['alto'],grande,,común crimen,,area,firme,mesa,,enojado,dimensión,,cuidado,,,['terremoto'],['deposito'],sanitario,pequeño,pedir ayuda,,,alivio,tranquilo,,muerto,banco,consistente,cuello,querer ser elogiado,bolso,aderezo,relación
,valentia,abeja,['rapidez mental'],lago,radio,olor comida,gran corazón,,,fiesta,blazer,alguien normal,terror,justicia,unión,barba,abdominal,cuerpo,musico,vida,verano,barra,espíritu santo,pirata,nutritivo,frío,ediondir,['pluma'],película,proceso,botón,familia,usualmente descartado,comida,ladron,explicación título,sentimiento,cortar duración,['pintoresco'],cuerpo identificable,,miedo,caracol,escultura,poder,,,apariencia,peligroso,lujo,,['nave espacial'],arma,rocar,usar método tortura,deseo,arrasador,búsqueda,,persuadir,abundancia,,pena,llamativo,orden,calle,,melancolía,situación buscar evitar,,mejor comprensión,,orden,maquillaje,crucifijo,generar destrucción,valor,forma gobernar,mentira,mediatar,naturaleza,,figurar paterna,,fisicar,propio naturaleza,['especie cementerio'],natural,,disparar,,distancia,ciencia,concentración,,,ilusión,,almacenar,,,['idéntico'],['dinero'],putrefacto,protegido,s,,,terrorífico,depresión,,recordar,tardio,cumplir cierto requisito,personaje mitologico,preocupación si mismo,vacación,fetir,unión
,resistencia,hoyo pequeño,['predicción'],fuerza,lejanir,aire,cana,,,reparar,visual,lider,llanto,igualdad,mismo causa,afeitar,ejercicio,medicina,iconir,muerto,relajado,barril cerveza,misa,llevar mandar equipo,baboso,prehistorio,caliente,['inocencia'],monja,fruta,dedal,vacación,hecho compuesto orgánico,pastel,mal amigo,verbalización concepto,acogida,mente,['atractivo'],persona,,asustado,mareante,rocar tallado cierto forma,influencia,,,subjetivo,gato,poder adquisitivo,,['planeta'],matar,cristalino,usar comprobar si alguien bruja,,desordir,hallazgo,,provocar efecto,recompenso,,arrepentir,calle,petición,planiciar,,felicidad,pena,,desarrollo,,alguien poder hablar,redondito,sobrenatural,traer consecuencia caos,principio,pai,verguenza,creencia,,,guardián,,torcar,oscuro,['histórico'],rústico,,peligroso,,sobrepoblacion,investigación,evaluación,,,verdadero,,dejar despu,,,['clon'],['mensual'],germecido,organico,situación complicado,,,bajo,susto,,felicidad,cansador,aplicar criterio,sangre,belleza,ver mundo,mata piojo,conexión
,barra futbol,defensa,['competencia'],corpulento,capacidad hacer,desagradable,experiencia,,,programación,ropa,caracter fuerte,ruido fuerte,derecho,grupo,peluquero,rollito,animal,exito,vida,manga,precio bajo,biblia,,poseer caparazón,criptar,plato greda,['ave'],sacerdote,campo,abuela,barco grande,duro envolver,postre,polémica,pequeño,chocolate,intensidad,['belleza'],tipo,,horror,hipnotizante,arte,posicion social,,,defor yo,tigre,gran poder económico,,['vía lactear'],tomar decision,color oscuro,caliente,,peligro,pista,,abogado,buen labor,,pedir perdón,carretera,favor,defecto,,alegría,compasión,,estabilidad,,generalmente forzoso,mascarilla,imposible,peligroso,protocolo,reinar,pelicular,creer mismo,,,cuidador,,fuerza,verde,['estudiar'],antiguo,,dolor,,vivir apretado,concepto base,silla,,,realidad,,ahorro,,,['reproducir'],['monto fijo'],limpieza,naturaleza,profesión dedicar,,,suave,panico,,tristeza,necesario,lógica,noche,arrogancia,experiencia positiva,ardor,afinidad
,dolor,pinchar,['pensamiento racional'],resistencia,,aire,recibir pensión,,,codigo,camisa,miedo,ruido,carnicerio,unidad,estilista,cerveza,flora,queir,frio,desabrigado,shop,beato beata,,hoja,cueva,condimento,['beber'],paranormal,verdura,coser,ingenierio,rima mascar,cocinar,falta empatiar,delicado,amor,momento importante,['hechacer'],trabajo,,temor,figurar,decoración,competencia,,,mutación,leon,posesión bien caro,,['inmenso'],,fuerte,fuego,,viento,prueba,,fluido,ingresar evento,,doloroso,,acción,hoyo,,tristeza,empatiar,,fin desarrollo,,acción agradable,cacheton,magia,dañino,convivencia,rey,ficticio,leyenda,,,educador,,vector,peligroso,['interesante'],libertad,,evitar,,espacio personal,vocación,mesa,,,copia distinto,,precaucion,,,['contestar rebatir'],['trabajo'],fiscalizador cocina,germinar,buscar amparo,,,exhalación,nerviosismo,,honor,adulto,prueba valor,colmillo,querer ser admirado,mochilar,limon,nexo
,guardar silencio,punta,['estructura'],,,vida,cariñoso,,,objeto mejorar,zapato,astucia,perro,hierro,,crema afeitar,obeso,fauna,rapsodiar,cuerpo inmóvil,dormir,social,padre monja,,poder encontrar jardín,protección,día frio,['alegría'],casa viejo,trabajador,diseñadora moda,mar,deber ser grueso ser considerado tal,dulce,desubicar,chiquitito,tierno,inconsciente,['hermoso'],raza,,impresión grande,forma,conmemoración,apariencia,,,distinto,peludo,dinero,,['fin'],,resistente,amigo,,destrucción,testigo,,producir,relacionado salario individuo,,llorar,,trabajo físico,pampa,,soledad,derrota,,plenitud,,caracter politico,piel,deidad,doloroso,educacion,autoridad,mentira,mito,,,apoyo,,progreso,naturaleza,['intrigante'],aire libre,,muerte,,vivir gente,aceptación,sala clase,,,caracteristica propio,,guardar,,,['contestar rebatir'],['remuneración'],preocupacion olor,flor,primero auxilio,,,aire,pequeño,,honrar alguien,nervio,relación lógica,criaturar mitológico,presumir,aventura,sal,conectar 2 cosa
,ejercicio,,['estrategia'],,,respiracion,merecer respetar,,,mejor versión,outfit,inteligencia,lobo,pesado,,navaja,guaton,verde cuaderno colegio,cultura,cuerpo muerto,grande,compartir amigo,,,bar propiedad cicraticantez,fogata,plato papá,['nacimiento'],penar,calor,ropa,iceberg,dabir tener composición distinto envolver,restaurante,malo persona,regalo mucho dedicación,animal,interacción,['maleficio'],color,,shock,circular,punto interés,valoración,,,disfraz,manado,riqueza,,['oxigeno'],,encontrar profundidad,malvavisco,,emergencia natural,seguimiento,,influencia,generar trabajo,,tristeza,,acción físico,paramir,,extrañar ser querido,arrepentimiento,,sensatez,,escrito ser así,cachete,fortuna,destructor,cena,origen real,arte,miedo,,,soportir,,movimiento,tranquilo,['muerte'],libre contaminación,,ataque,,cuidad chico,cierto,madera,,,alma,,importante,,,['venir despu terremoto'],['sueldo'],orden,planta,grito ayuda,,,asociado respiración,social,,homenaje,importante,poder otorgar concepto,alimentar sangre,provenir ser humano,nuevo,lechuga,poder ser real
,saltar,,['concentración'],,,ejercicio,caminar lento,,,cambio,salir calle,habilidad mental,luna,juego infantil,,silla cuero,cerveza,conocimiento,arte,ausencia vida,pijamar,bar,,,vivir tambien mar,pasear,chileno,['animal'],cruz,agua,aguja,titanic,biodegradable,rico,aprovechado,pequeño imperfección,chocolate,relación,['magico'],diferente,,poder causar mueta,tipo galaxia,arte,jerarquir,,,especie,ojo pupila vertical,billete,,['desconocido'],,asociado mineer,calor,,generar miedo,producir,,marea,acceso lugar,,sentimiento,,necesitar fuerza,planiciar,,perdido,sentimiento,,responsabilidad,,apelable,cara,felicidad,guerra,ropa fino,poder,escenario,misterioso,,,simbólico,,energiar,vida marino,['templo'],campo,,arma,,camino tierra,axioma,estudio,,,interior,,venir bueno,,,['copia'],['dinero'],rico olor,regar,alamarte,,,enamoramiento,reservado,,recordar,organización previo,buscar,drácular,asocia fijación aspecto físico,miedo,ensalado,poder cabeza persona
,retener,,['entusiasmo'],,,mal olor,homosapiens,,,problema,fashion,ocurrencia,peligro,medir,,cilindro rojo blanco,comida,observacion,gozo,consecuencia accidente,pantalón,alcohol,,,arrastrar,cavernícola,papas,['pluma'],fantasma,amplio,hilo,divertido,natural,comida,traicion,descripcion,dulce,comunicación,['serie palabra'],singular,,gente tratar avitar,inicio fin,movilidad,importancia social,,,repugnante,introvertido,poder adquisicion,,['unico'],,cuarzo,luz,,peligroso,detectivar,,poder,sitio discriminar acceso,,perdido,,contrario gravedad,arido,,cansancio,desepción,,autonomía,,orden,niño gordo,inesperado,bomba,elegancia,herencia poder,esfuerzo,suspenso,,,ayuda,,facil,agua,['sagrado'],divertido,,apuntar,,lugar seco,base,alumno,,,espejo,,planificacion anticipacion,,,['imitación'],['trabajo'],salud,nuevo,palabra desesperada,,,felicidad,callado,,conmemoración,gustar hacer,necesitar,sangre,asocia gente adinerado,persona,aceite,usar mucho disciplina
,guardar secreto,,['monarquía'],,,buen olor,mujer,,,mejorar,gusto,creatividad,noche,calcular,,peineta,thor guaton,,culto,consecuencia enfermedad,comodo,sociabilizar,,,lento,hoyo,tipico,['volar'],oscuridad,seco,maquín coser,caro,basura,dulce,egoista,atención,amistad,disposición acción,['poder tener efecto'],unicar,,poco buscar,ir crecer,relieve,prestigio,,,mal gusto,,herencia,,['planeta'],,gris,energía,,descontrol,holm,,atribuir,relacionar economía país,,dolor,,común día día,seco,,desesperación,interno,,experiencia,,obediencia,sonrojar,mejora,explosivo,norma conducta,dinero,detalle,espiritual,,,familia,,herramienta,sucio,['monumento'],cualquiera,,bala,,pobre,idea cierto veracidad negación conclusión,antiguo,,,accion reaccion,,todavia decidido,,,['poder referir él clon'],['rutín'],cordura,florecer,señal universal pedir asistencia urgente,,,respirar,sociable,,finanza,latero,querer,hallowear,mayoritariamente femenino,trabajador,mal olor,poderoso
,durabilidad,,['pieza'],,,viento,viejo,,,corregir,creatividad,,bosque,peso,,peluquero,kunfu pandar,,religion,irreversible,estilo,starwars,,,baboso,encierro,campo,['cielo'],hechacer,cansador,sierrir,,reciclar,persona,empatico,preocupación,mami,generar cierto vivencia,['real'],particular,,sangre correr rápido,patrón,iner tú,importante,,,buen corazon,,millonario,,['sistema solar'],,negro,diversión,,generar desesperación,investigar,,alterar,entrega información poder adquisitivo,,pena,,necesario cierto acción,lejano oeste,,poder dejar ir persona,externo,,asocia edad,,jerarquir,poro,hada,daño,forma actuar manera correcto,rey,engaño,sobrenatural,,,similar tio,,util,sapo,['escultura'],lugar amplio,,matar,,habitado,afirmación previo resultado,colegio,,,repeticion,,asiento mas importante teatro,,,['poder referir él robot creer humano'],['pago'],higienir,saludable,ayuda,,,quejar él,solitario,,contribución,tedioso,vez necesitar,serie,individual,emoción,acir,confianza
,stamina,,['antiguedad'],,,ligero,movilidad reducido,,,mejorar,pantalón,,,equilibrio,,viejito,peso,,gita yo,muerte,mujer,lugar peligroso,,,quema sal,piedra,zapallo,['blanco negro'],maldicion,comercio,botón,,asociado fruta,pastel,desagradable,perfeccionismo,felicidad,sentir,"['provenir género fantástico', 'maravilloso']",actividad,,asocia adrenalinar,remolino,grande,extrincico,,,,,bien,,['color'],,piedra,noche,,desplazamiento aleatorio,acertijo,,manipular,vinculado desarrollo profesional,,sufrimiento,,levantar,arena,,sentimiento,abuelo,,poder ser mental,,rey,cabeza,causa desconocido,expulsar,conducta actuar entorno,época medieval,broadway,aura,,,cumplir función respecto alguien,,fisicar,cavarno,['cementerio'],casa grande,,metal,,ser utilizado,proposición afirmar negar,universidad,,,atento,,guardar,,,['similitud'],['comida'],alguien comportar bien,plantar,desesperación,,,cansancio,falta personalidad,,contabilidad,deber hacer,creer necesitar él cierto momento,crepusculo,egoista,planeado,vinagretar,símbolo
,rutín,,['seriedad'],,,,debil,,,maquillar,,,,equidad,,pelo,palido,,artista,descomposicion,,bebestibl,,,poder comer,milodón,carne,['beber'],mago,fruta,telar,,asociado verdura,hambriento,,ser minucioso,glicemia,poder ser abrumador,['poder atado encantador'],corporacion,,incomodo,caracol,vida,relacional,,,,,capital,,['temor'],,arena,sobrevivencia,,fuerte,revelación,,manejar,entrega,,quejar él,,subir objeto,caluroso,,desahogo,sentimiento negativo,,asocia futa,,presidente,parte cara humano ubicado debajo ojo,paz,fuego,forma cortesía actuar persona,realeza,grabar,energiar,,,guia,,polea,oscuro,['religion'],lugar,,pesado,,pueblo pequeño,razonamiento obtener conclusión,mesa,,,reaccionar,,almacenado,,,['igualdad'],['univesidad'],alguien puro,planta,necesidad,,,pena,incomodidad social,,mostrar respetar,necesario,util,ajo,superficial,espontaneo,aceto balsamico,poder ser irrompible
,soportir,,['juego'],,,,sufrir enfermedad,,,superficial,,,,parejo,,cuchillo,xl,,poeta,hallowear,,comida,,,limpio,oscuridad,sopar,['embarazo'],brujo,verdura,fabrico,,poder ser comestible,culinario,,obsequio pequeño,diabetes,poder ser bueno malo,['varonil'],existir,,intento evadir él,resor tú,humano,brindar oportunidad,,,,,banco,,['diminutir'],,gris,útil,,peligroso,pensar,,cambiar,entrar,,arrepentir él,,punto cardinal,planiciar,,abandono,emocion,,asocia verdura,,alto autoridad,parte pomulo rostro,aceptar,enemigo,forma actuar sociedad,castillo gigante ostentoso,falso,desconocido,,,referente,,rodar,germen,['muerto'],terreno,,negro,,campo,,silla,,,reflexión,,cuidado,,,['imitación'],,limpieza,campo,problema,,,dolor,ansiedad social,,admiracion,conseguir cosa,permitir confirmar creencia,diente,virtud,amigo,conimento,poder ser débil
,fuerza,,['complicado'],,,,despertar temprano,,,adornar,,,,medir,,peinir,apellido,,,diar muerto,,,,,arrastrar,cuento,abuela,['pajaro'],hechicera,agricola,hilo,,pela,pasteleria,,percance,azucar,poder ser bueno malo,['util'],sujeto,,placentero,curvar,animal,situacional,,,,,mucho platar,,['universo'],,rocar pequeño,fuego,,dañino,señal,,alterar,obtener,,deplorar,,oriente,valle,,llorar,tristesa,,asocia fetilidad,,poder,denominación cachete,dios,atomico,conducta actuar persona frente situación,lujo,mentira,charcho,,,patrocinador,,torcar,laguna,['griego'],hogar,,policia,,zona rural,,aprender,,,dualidad,,suplente,,,['reflejo'],,salubridad,invernadero,temor,,,alivio,panico escenico,,impuesto,cumplir,indicar veracidad,velocida,malo grande cantidad,alguien viajar,cocina,poder ser siempre
,,,['estratégico'],,,,dinero,,,flor,,,,pesar,,barba,grasa,,,hueso,,,,,caparazon,prehistorio,,['sexo'],epocar medieval,frescir,aguja,,proteger,hogar,,defecto menor,dulce,sentimiento,['importante'],individuo,,malo experiencia,resor tú,parecido alguien,social,,,,,riqueza,,['espacio'],,decoracion,fogata,,romper,señal lograr conocimiento,,pensamiento,dinero,,sentimiento,,geografiar,gran extensión tierra,,pena,sentir pena,,otorgar sabiduer,,jerarquizacion,ubicacion carnós ambos lado cara,universo,opositor,norma regular actuar persona,reino,hecho,ki,,,hacer él cargo,,golpe,barro,['tumbos'],tierra,,delincuente,,casa cabaña,,profesor,,,innato,,repuesto,,,['asociado terremoto temblor'],,cuidado,fruta verdura,peligro,,,salvar él,animo persona frente situación,,pago,realizar tarea,permisividad,muerte,negativo,recorrer lugar,sabor,atadura
,,,['inteligente'],,,,arruga,,,beneficiar,,,,masar,,crema,guato,,,ataud,,,,,ojo antena,rocar,,['infatil'],mal,regar,boton,,suave,,,punto,postre,alegrio,['abrir puerta'],unidad,,ansiedad,marear,admirable,económico,,,,,suerte,,['planeta'],,color claro,leña,,devastador,circunstancia presumir,,manipular,entrar,,emocion,,levantado,terreno plano muya grande,,relacion,lamentar él,,tiempo,,jefe,,acontecimiento inesperado,explosión,regla actuar correcto ser humano,plebeyo,arreglado,chi,,,protector,,metal,tierra,['entierro'],propiedad,,fuego,,tranquilo,,castigo,,,beb,,guardar precaución,,,['copia'],,limpieza,fruta verdura,alerta,,,tiempo corto,sensacion inseguridad,,dinero,fila,verdad,disfraz,materialismo,país,alimento,relación
,,,['juego mesa'],,,,problema visto,,,estandar belleza,,,,numero,,hombre,rollo,,,blanco,,,,,vivir,frio,,['cuento'],peligroso,maiz,maquín coser,,proteger alimento,,,especificidad,agradable,amor,['atrayente'],ser,,negativo,caido,escultura antiguo,red social,,,,,momento correcto,,['estrella'],,baldoza,arder,,tempestad,tener idea permitir deducir acción,,moldear,aceptar,,tristeza,,levantar pasado,terreno plano muya grande,,adio,poder hacer respecto,,sabiduer,,dictador,,incleible,guerra,norma protocolo convivencia,pago impuesto,preparado,aura,,,ahijado,,mecanismo,animal,['coliseir'],hectarea,,arma,,poco persona,,,,,biologico,,venir tinto,,,['doble'],,virus,cosecha,poder ser trampa,,,impercibible,sensacion afectar relación personal persona,,honor,civil,correcto,sobrenatural,buen cierto punto,aventurero,liquido obtener uva,conexión
,,,['serio'],,,,amigable,,,cementerio,,,,medicion,,cana,comida,,,bajo tierra,,,,,comen pajaro,oscuro,,['volar'],defensa,verde,genero,,poder ser duro blando,,,meticuloso,simpatico,euforia,['poder ser peligroso'],organismo,,poder ser emocionante,arte,nuevo york,importante,,,,,idoneidad,,['espacial'],,cubierto cocina,reunion,,desastrar natural,hacer encontrar resultado,,capacidad influir,conseguir,,angustiar,,jergo,rancho,,tristeza,malestar,,edad,,represion,,sobrenatural,arma,,luis 14,preparar parecer real,incienso,,,hombre,,engranaje,sucio,['antiguedad'],campo,,mal,,amigable,,,,,cuerpo,,cautela,,,['asemejar'],,lavado mano,comida,dolor,,,ultimo oportunidad,sensacion duda provocar atrever él realizar,,homenaje,hacer,certeza,hombre lobo,impulsar mejorarno,andar avión,liquido utilizado condimentar,unión
,,,['aburrido'],,,,sabio,,,salir,,,,peso,,musulmar,chatarra,,,miedo,,,,,lento,fuejo,,['bolsa'],ataque,plantacion,telar,,cubrir objeto,,,engorroso,niña,lagrima,['magico'],andar solo,,intranquilo,figura geometrica,marmol,sobrevalorado,,,,,bien,,['nasar'],,variado color,campamento,,viento,información deducir resultado,,cambiar voluntad alguien,incorporar,,melancoliar,,alzar,corral,,abandono,sentimiento,,masculinidad,,libertad,,ayuda,soldado,,antiguedad,actuar,meditacion,,,matrimonio,,ingenierio,viscoso,['romano'],grande,,robo mano armado,,vida tranquilar,,,,,nervio,,precavido,,,['emula'],,covid,vida,miedo,,,respiración,rasgo personalidad limitar actuar persona,,pagar,pendiente,real,momia,ego,maleta,liquido fermentado manzán,relacion
,,,['famoso'],,,,lento,,,cara,,,,gramo,,barba,malo alimentacion,,,inmovil,,,,,viscoso,tierra,,['hijo'],,tierra,diseño,,huevir,,,sesgo,niño,orgullo,['mistico'],institución,,poner alerta,locura,museo,poder ser estresante si importar,,,,,casualidad,,['astronauta'],,encimera,noche,,lluvia,camino dato lograr resultado,,determinar acto través accionar alguien,inscribir,,desanimo,,elevar,sembrar,,soledad,pena,,disciplina,,pensamiento,,imposible,sufrimiento,,palacio,real,paz,,,familiar,,barra trasmitir fuerza,cocodrilo,['griego'],fundo,,bandido,,familiaridad,,,,,cerebro,,guardado,,,['original'],,ministerio salud,inicio vida,ayuda,,,aire,persona quedar él mas retrair,,impuesto,oficina,fundamento,frankenstein,orgullo,recorrer,liquido acir,familia
,,,['largo'],,,,divertido,,,trato,,,,kilo,,maquín pelo,señor,,,muerte,,,,,caparazon,habitad,,['huevir'],,tractor,hoyo,,fruta,,,unico,endulzante,expresar,['cortés'],independiente,,susto,avioneta,conmemoración cosa importante,concepto social,,,,,dinero,,['conjunto estrella'],,poquito,otorgar calor hacer frio,,arrasar,sensacion probar,,influenciar,obtener,,malo,,peso,agricultura,,lagrimal,verguenza,,respetar,,orwell,,probable,fuego,,imperio,farso,balance,,,mafia,,punto resistencia sostener,agua estancado,['templo'],campo,,hacer daño,,cercania,,,,,espejo,,ordenado,,,['repeticion'],,mental,futuro planta,peligro,,,calma,sentimiento inseguridad miedo ser rechazado socialmente,,honrar,papeleo,legitimo,daga,engreido,mapa,condimento liquido,amigo
,,,['especifico'],,,,menos habil,,,mejora,,,,metal,,navaja afelitar,pelo,,,mal olor,,,,,ojo antena,resguardo,,['beber'],,temporada,roto,,pudrar,,,poder ser error pequeño,stevio,contento,['cualidad'],representacion,,miedo,dibujo,recordar aciudad antiguo,irrelevante,,,,,suerte,,['vialactear'],,pichintun,madera,,efecto debastador,señal presumir,,movilizar hacia resultado,lograr,,cosa poder revertir,,objeto,paisaje plano,,desamor,incomodo,,prudencia,,estructurado,,felicidad maximo,poder,,pobreza,crear,control,,,bautizo,,carne redondeado extremo parrillar,verde,['dios'],amplitud,,fuego,,naturaleza,,,,,espejismo,,meticuloso,,,['respuesta'],,psicología,primero paso,miedo,,,profundidad,sentimiento inseguridad miedo ser rechazado socialmente,,rendir homenaje,firma,autentico,sangre,lujo,recorrer,fermentacion alcohol obtener,persona
