,acuerdo,agradecimiento,amenaza,ansiedad,compasión,culpa,decisión,definición,desesperación,destreza,esperanza,excusa,felicidad,ganancia,habilidad,honestidad,obligación,obsesión,oportunidad,peligro,pensamiento,plan,razón,seguridad,sugerencia,verdad,éxito
594,Un tipo de pacto,Cuando le das un obsequio a otro en devolución a un favor,que sucede,es un tipo de enfermedad,sentir sensibilidad por algo o alguien,tenemos esto cuando hacemos algo mal,tener fuerza,sirve para encontrar el significado de algo,Angustia,lo que te diferencia de otras personas en realizar ciertas actividades,lo tiene cuando uno quiere lograr algo pero es dificil lograrlo,se usa para evitar cosas que no agradan a la gente,skittles,fruto de algo,Don,es un valor,deber,puede ser causal de un amor no correspondido ,se presentan varias en la vida,tienes que tener cuidado si te encuentras en esta situacion,Para ello uno ocupa solamente el cerebro,es como un camino para alcanzar algo,pensamiento,muchas casas ponen rejas y cercado para dar mas,guiar,es lo pre establecido por la gente,Meta lograda
595,pacto,cuando alguien hace algo amable por ti,alerta,preocupación interna hacia lo desconocido,apiadarse de algo o alguien,sentir que eres responsable de algo ocurrido,reaccionar,descripción,Intranquilidad,"Una persona que juega futbol, la tiene para los deportes",sirve para la automotivación,una excusa no siempre implica la verdad,vacaciones en un lugar soleado pero no muy caluroso,cuando eres niño tienes poca,Talento,es calificativo,imposicion ,incapacidad de dejar de pensar en alguien ,no todos la tienen,Cuando hay un accidente ponen cintas de seguridad con esta palabra,Es un tipo de corriente,uno en claro elige un,lo que creen tener todas las personas,algunas personas son mas timidas por ser mas,guiar por el camino correcto,tambien es un atributo de algunas personas,Se tiene luego de esforzarse para alcanzarlo
596,conciliación,cuando le das las gracias a una persona,bomba,estrés,es un sentimiento positivo,experimentar remordimiento,poseer una opinion,"características de una cosa, objeto o persona",Negarse a encontrar la paz,hablidades para algo,todo va a estar bien,ocurre para evitar situaciones ,estar con personas amadas,se gana en el primer trabajo,Una persona que desarrolla bien una actividad o conocimiento,es veraz,accion inmediata,incapacidad de dejar de pensar en algo,uno las agradece,Cuidado,Se tiene miles de ellos cada día,es lo que pago alfinal de mes en entel,se puede contradecir,sentimiento de desproteccion,directriz,es bien valorado en la sociedad,Produce felicidad
597,trato,acción a favor de una persona que te ayudo,terrorismo,rapidez,compadecerse de algo,algo que sientes cuando hieres a alguien,tener una idea,detallar algo,El peor error frente a un problema,el mejor,pensar positivo pensando que algo ocurrira,pretexto,reír,capital,Se puede desarrollar con practica,verdad,tiene tiempo determinado,Unas galletas tienen el nombre de este concepto,te las da algo o alguien,hay carteles con esta palabra que avisan que algo malo puede suceder,"Son personales, nadie puede saberlos a menos que los expreses",Esquema,opinión,proteccion,proponer algo,nadie puede recriminar contra ello,Quienes lo logran sienten satisfacción
645,contrato,sentirse feliz por la ayuda de alguien y hacerelo notar,ataque,ganas por que ocurra algo,apiadarse de algo o alguien,Sensación molesta,estar seguro,sentido de algo,Corriendo contra el tiempo,preciso,los creyentes la tienen en Dios,evadir situaciones,sensación plena de satisfacción ,billetes,capacidad de hacer algo,no mentir,no se puede decirle no,Puede llegar a ser un trastorno sicológico,si se comete un error esta la posibilidad de enmendarlo con ella,algo que no es bueno,Dan lugar a las ideas,Pasos a seguir,logica,Sensación de protección,dar una opinion acerca de algo,contrario a decir mentiras,triunfo
646,venta,se dice cuando se ora,seguridad,terminar rapido,pena,Se debe a alguna acción o situación que involucra una autorresponsabilidad,tener confianza,significado,Estado mental nervioso,seguro,saber que algo sucederá ,aplazar,alegria,es satisfactorio,un don,decir lo que uno piensa,tu mama te dio muchas,No poder desconectarse de algo,un nuevo camino,cuando te puede pasar algo malo,accion mental,Guía,pensamiento ,Confianza,plantear alguna solucion,no mentir,victoria
647,condiciones,misa,vida de las personas,comer rapido,ponerse en el lugar del otro,Malestar,comparar,descripción,Evitar la calma,rapido,tener confianza en que lo hecho o lo que se hará es lo correcto,justificar,arcoiris,Lo que se obtiene por realizar alguna acción,ser bueno en algo,obtener confianza,implica responsabilidad,Dejar de dormir por ese algo,un desafio,cuando estas en situacion riesgosa,ideas ,Organización de acciones a seguir,la mente la crea,Autoafirmación,mostrar un punto de vista propio,decir las cosas tal como son,logros obtenidos
648,dos o mas participantes,cuando te sacan de un problema,Cuando corro peligro estoy bajo una…,enfermedad psicologica,empatia,Incomodidad,analizar resultados ,explicación de conceptos u objetos,no tener paciencia,genio,propio de personas positivas,respuesta,risa,Beneficia a quien la obtiene,destacarse en un area,real,tarea ,Encerrarse ,hacer algo por primera vez o repetirlo,si hay un incendio te encuentras en ese estado,muchas veces no se hace y solo se actua ,situación estructurada a futuro,permite críticar,Despreocupación,cuando tratamos de ayudar a alguien,certeza,realización de sueños
649,establecer reglas,es importante decirlo,Algo que puede dañarte,"""picotear"" comida",es un sentimiento,Puede generar ansiedad,Seguridad,proponer caracteristicas,cuando no sabes que hacer,facilidad para algo,tener fé,minimización situación,alegría que perdura,Puede ser material y no material,ser competente para algo,veracidad,ir a secar la ropa,Dejar de ver todas las opciones en pro de una sola,una fortuna,cuando a veces temes por tu vida,opinión,se relaciona a la organización de algo,te permite crear argumentos,Las madres y/o nos provocan ese sentimiento,cuando queremos resolver algun problema,irrefutable,para conseguirlo es necesario el trabajo duro
694,tratado,es un valor decirlo,peligro,normalmente en mujeres,se pasa muchas veces de la rabia a este sentimiento,Se tiende a sentir luego de producir algun daño,Se asocia a un pensamiento ,descripción,encontrarse en una situación mala y perder el control,habilidad para la realización de algo,algo positivo,genera una ponderación negativa en quien la recibe,estado de ánimo positivo,Recompensa,puede relacionarse con los hobbies,decir la verdad,tener un buen rendimiento,El concepto es percibido como negativo,una ventana abierta,si te encuentras con un animal feroz,se tiene en la mente,estructura de algo,una capacidad del ser humano,estar en resguardo,indicar una mejor solución,existente ,fruto del esfuerzo
695,memoria,lo sientes cuando alguien hace algo bueno por ti,Un león feroz para una cebra,impulso que lleva a hacer algo,la gente muchas veces lo siente con la gente pobre,La forma de remediarla es arreglar el motivo causante,Requiere un minimo de interes,explica que hace,comenzar a hacer cosas poco lógicas cuando ya no se logra algo,capacidad mayor que el promedio de la gente en alguna disciplina,pensar que las cosas van a estar bien,evitación de algo ,opuesto a tristeza o amargura,Puede simular un premio,aptitud para una acción o actividad determinada ,no ser mentiroso,compromiso que debe cumplirse,Es similar a un vicio,chance ,es algo de lo que nos alejamos normalmente,las personas lo tienen,se puede armar solo o con más personas,parte de la especie,propósito de las instituciones policiales,se debería hacer de manera sutil,cosas que te dicen tus padres,cumplimiento de los objetivos
696,decision entre dos o mas personas,dar las gracias,El hombre para la naturaleza,deseo incontrolable frente a un acontecimiento o evento,la mayoria de las personas lo ha sentido alguna vez,angustia,Capacidad de elegir ,sirve para saber como es algo desconocido ,actitud que se toma frente a situaciones estresantes,mayor desrrollo de una caracteristica positiva que te hace destacar por sobre los demas,no rendirse,evadir un hecho por medio de algo que puede o no ser verdad,propio de personas positivas,beneficio,destreza ,Sinceridad,regla que se debe acatar,cuando una persona se vuelve adicto a algo,opción de conseguir algo,algo malo,existen buenos y malos,en los estudios se debe elaborar para organizarse,"puede ser logico, critico",lo que una familia entrega a sus hijos,son constructivas,cosas que te dicen los profesores,el esfuerzo es el camino al
774,llegar  a un concenso ,estar feliz con lo que uno recibe,Puede perjudicarte ,desesperación ,acogimiento ,sensación tras cometer un error,Puede tener un grado de dificultad,lo dice la rae,cuando estas encerrado en un lugar pequeño te pones así,habilidad,confiar,Manera de explicar algo,permite disfrutar mejor las cosas de la vida,recompenza,puedes tenerla en distintos campos o áreas ,ser recto como persona,no se puede evadir,a veces puede jugar en contra,propuesta ,tener cuidado,son diferentes al resto,en los trabajos se utilizan para aumentar la producción,permite la comunicación ,te las dan cuando creen que no estas haciendo algo bien,pueden señalar un error,algo real,hay que luchar para conseguirlo
775,tener la capacidad de determinar una idea,ser respetuoso,produce miedo,produce efectos movimientos físicos involuntarios,tristeza,ganas de corrergir una accion ,Depende de variables ,dar a conocer algo ,cuando le pides ayuda a alguien que nunca pensaste acudirías,leonel messi,probablidad,Forma de justificarse,amor,recibir algo despues de un logro,capacidad,virtud,cuando alguien tiene que hacer algo incluso si es contra su voluntad,no es bueno,alternativa,advertencia,se dá en el día a día,acción a futuro interiorizada ,Motivo,no es agresiva,una opinion,verosimil ,mision cumplida
776,llevar a cabo una idea que se tomo anteriormente ,se dá cuando otra persona hace algo bueno por la otra,muchas veces es inminente,los novios antes de la boda la presentan,tener lastima de alguien,generalmente se le asocia a los arqueros,Involucra una accion ,dar términos a una palabra,cuando haces cosas que nunca pensaste que harías en situaciones normales,rapidez,estadística,Se utilizan normalmente frente a un error,realizacion personal,puede ser extrinseco como intrinseco,herramienta para distenderse en el entorno,cualidad destacable de las personas,es algo que uno tiene que hacer no importa que,trastorno,negocio para triunfar,puede ocurrir una situación en un futuro,creencia,organización,lo que desencadena que suceda ,constructiva en general,una idea,se puede tomar como una reflexion religiosa,prosperar
777,estoy totalmente a tu lado,satisfecho,nos prepara para una situacion de peligro,"puede generar acné, tensión muscular y/o tics nerviosos",sentir pena por alguna accion o suceso ,intranquilidad frente a una decision tomada,Trae consecuencias ,aquello que su busca para saber qué significa algo,una forma de estrés,fisico,analisis numerico,Se usan cuando no se quiere asumir responsabilidad,unobjetivo de vida,uno se siente realizado,facilita la realización de acciones,actuar correctamente,deber,repeticion de conductas,chance que se presenta,desastre,reflexion,tiene una meta y un camino definido,Los seres humanos se caracterizan por poseer esta capacidad,peticion,un comentario,la ciencia siempre la dice,triunfar
778,a favor,"no se pide algo a cambio, se da por sí solo",Potencial agente de daño,suele ocurrir previo a un hecho importante,ser empatico con el otro,querer revertir una situacion ,Esfuerzo,Datar caracteristicas de un concepto,Lo sufren las personas cuando las cosas no les resultan,pensamiento rapido,años de vida,Faciles de realizar,una gran mision,efecto de esfuerzo,ventaja competitiva y por tanto comparativa,ser transparente,tarea,cuando no podemos vivir sin alguna cosa,intento,prevenir,inteligencia,se usa mucho para organizar,Se desarrolla por el pensamiento,sirve para ver puntos de vista distintos,una reflexion,admitir ,lograr objetivo
779,convenio,reconocimiento,Potncial peligro,codicia,perdonar por pena,sensación al no realizar una accion,La realiza una persona o grupo de personas,Explicar que es algo,esto altera a las personas,habilidad para correr,calidad de vida,Cuando no quieres hacer algo buscas una…,un deseo ,consecuencia de ventas,se aplican para diferentes areas de desarrollo en la naturaleza,no ocultar cosas que debería decir,lo impone una persona sobre otra,idolatrar mucho algo,Puede ser laboral ,peligro,juicio,tiene pasos,logico,en general te las dan ,se da entre amigos,algo real e incuestionable ,conseguir una meta
944,pacto,dios lo bendiga,Mal acechante,deseo,ayudar,el autogol fue por mi ,elegir ,Ayuda a las personas a entender que son las cosas,lo sentimos cuando no podemos respirar,don,confianza,Pretexto,no es constante,puede ser monetario,en le sentido evolutivo permite que las especies perduren,no mentir,Es una tarea que uno tiene que hacer si o si,depender de algo,Ocasión de hacer algo,auxilio,idea,Estrategia,correcto,Cuando uno cree que lo que dice es lo correcto,se da en una conversacion apropiada,Sinceridad,llegar a la cima
945,estrategia,satisfaccion,busca persuadir,querer algo,ponerse en el lugar de alguien que lo esta pasando peor que uno,pensamiento autocritico,una cosa o la(s) otra(s),Preponderante en el estudio de los alumnos ,angustia frente a algo,destreza,seguridad,sirve para librarse de algo,requiere esfuerzo,beneficio,Algunos humanos nacen facilidades remarcables,decir la verdad,generalmente tiene consecuencias si uno no la hace,interés exagerado e incontrolable,Opción,que esta pasando,concepto,Modus Operandi,moral,Guardias,esta sujeta al gusto de cada persona,Algo objetivo,obtener beneficios
946,mercado,premio,"puede ser real, creible o efectiva",necesidad,empatia ,sentimiento,por una camino u otro,Gracias a el podemos tener un orden mental de las cosas,incapacidad de estar tranquilo,aptitud,certidumbre,es un motivo,depende de uno mismo,Ingresos disponibles menos costos totales,Otros humanos las desarrollan conforme a lo requieren,Es un valor que se adquiere cuando uno dice la verdad,deber ,exceso de algo ,Parte del analisis FODA,que sucede,plan,Forma de actuar ya pensada,Es la manera logica de pensar de cada persona,Preservativo,siempre beneficia al que da la opinion,Honestidad,buenos resultados
947,tratado,complacerse,"la forma mas distendida, conocida y aceptada son las leyes.",impulsividad,misericordia ,generado tras análisis de acciones pasadas,manifestar una preferenica,Proporciona sabiduria,produce estrés en quien la tiene constantemente,genio,ilusión,se usa habitualmente para no tener la culpa,estado emocional,el beneficio que uno recibe despues de haber saldado sus cuentas,tener agilidad en algo,anteponer la verdad sobre la mentira,las tareas son una ,ser cargante,Ocasión de ganar,alerta,esperame un poco,Organización ,estar en lo correcto,Tener un dispositivo electronico con contraseña,la respuesta a una comparacion,Las personas que la usan son mas positivas,Asociado a felicidad
948,transacción,gracias por el favor,peligro,afán,no tiene lugar en la guerra ,remordimiento,tomar una postura,Explicación de algún concepto,perder la calma,habilidad,El pensar de que algo pueda ocurrir ,puede ser una mentira o verdad,gratificante,similar a la utilidad pero visto desde un punto de vista mas social,ser útil en algo determinado,correcto,realizar las tareas ,cuadrado ,Posibidad,bomba,dejame un tiempo,Se efectuan antes de un partido,lo que lleva a uno a hacer las decisiones que hacemos,Guadaespalda,Opcion,Suele evitar problemas,Las personas lo buscan
949,decision final,retribucion,panico,anhelo,muestra debilidad ,acusación que recae sobre un individuo,privilegiar algo sobre las demás opciones,El diccionario posee muchas …………..,estar inquieto,para jugar futbol se necesita,Pensar en los actos buenos de alguien malo puede darte un poco de ...,tiene que ser creible,Alegria,"Es lo que uno obtiene al recibir un beneficio, ya sea esforzandose o no",fortaleza en algo,Un tipo de valor,sacar una carrera ,sesgarce a más alternativas,es una posibilidad que el ser humano puede tomar,terrorismo,"logico, deductivo, etc",Idear una forma de lograr algo ,tener sentido,Anticonceptivo,Puede ser ignorada ,Hay algunas tan fuertes que te meten en problemas ,Cúspide laboral
950,Entre dos o mas personas,como te sientes despues de recibir algo,alerta,angustia,la gente de religion deberia mostrarla ,altamene ligada a las acusaciones,pensar en lo que se aproxima y sus consecuencias,Significado de las palabras,estar ansioso,motricidad fina,Que algo positivo ocurra,sirve para justificar algo, sensación placentera,utilidad,destreza,Uno de los primeros valores que los padres enseñan a sus hijos,Ser respetuoso con los padres ,problema ,son opciones para tomar que se dan en la vida de un individuo,seguridad,critico,Necesarios cuando se quiere alcanzar un objetivo,Pensamiento,Lo que no hay en los barrios marginales,Puede ser aceptada,Conducta considerada honrada ,triunfar
951,Trato,gratitud,miedo hacia algo especifico,inquietud,culpa ,ligada a un castigo,hay varias opciones,vía por la cual se busca el significado de algo ,susto,movimientos cordinados,Pensar en superar un momento duro,certidicado,sonrisa,se da cuando el beneficio es mayor a los costos,capacidad para hacer algo,confiabilidad,ser responsable es una ,reiterar una alternativa,existen muchas oportunidades en la vida,vida de las personas,permite comunicación ,Especificos para distintas tareas,También está relacionada a proporción,El presidente de EE.UU la tiene más que nadie,Ayuda,seguridad de un hecho,tener dinero
994,Desición,lo que sientes cuando alguien te hace un favor,Puede perjudicar,angustia interna,el sistema no la tiene ,va acompañada de castigo fisico o psicologico inferido por el entorno o uno mismo,un respuesta,Diccionario ,efecto del miedo,habilidad en combate,Pensamientos felices siempre entregan …,responde a una pregunta,dicha,Utilidad,destreza,cuando alguien dice la verdad,cumplir las leyes resultan una ,concretar objetivos como sea,nuevas experiencias,inseguridad,crea una opinion,Pueden compartirse para situaciones del mismo contexto,Permite elegir,Lo que uno siente al estar protegido,Idea ,estamento,ser reconocido
995,Todas las partes involucradas están conformes con el resultado,Respuesta ante un cumplido recibido,Algo malo ,desesperacion frente a una situacion,misericordia de alguien,sentir presión por algo cometido,Es algo concluyente ,Enciclopedia ,impaciente,aumenta la probabilidad de golpe crítico,Lo que nos da fuerzas para seguir adelante,posee informacion importante,emoción,Puede ser material,capacidad,sinceridad,deber,no ver más allá ,permite el desarrollo de nuevas habilidades,ataque,una idea,futuro,Saber,Cuando se habla de esto muchas veces se habla de guardias,Consejo ,algo verídico,tener suerte
996,Conforme,Después de recibir un regalo,Algo que se entrega a otra persona ,ataquede ,se puede sentir por alguien ,arrepentimiento,"siempre definen algo, no conceptualmente",entrega información clave de un concepto,contrario a estar pasivo,aumenta la probabilidad de esquivar un golpe,Una manera de seguir luchando,subterfugio,bienestar,Asociada al dinero,potencial ,caracteriza a las personas buenas,Una responsabilidad,Idolatracion excesiva,situación ventajoza de la cual se puede sacar provecho,bomba,representaciones mentales,meta,Conciencia,Segundo nivel de la pirámide de Maslow,Interes sobre el tema,afirmación de algo,ser inteligente
1065,consenso,Una manera de sociabilizar ,Puede ser verbal o física,falta de respiracion ,se puede sentir por algún enemigo,presión de algo cometido,determina una situación ,"Cuando se desconce, la buscamos ",fuera de lugar,agilidad,tener fe de que algo va a suceder,es lo que debe dar la gente que no cumple,mejor salud,Contrario a pérdida,unica de cada persona,es lo contrario a ser mentiroso,compromiso que se debe realizar,Conducta de riesgo ,implica una mejora en el bienestar en caso de ejecutarse,choque,imaginacion,algo que buscas cumplir,Mente,confianza,Es una forma de participar en la toma de decisiones ,puede ser cuestionado,ser pudiente
1066,algo que beneficia a ambas partes,Un forma de retroalimentar el acto que alguien hace por uno,Puede terninar en violencia,no saber que va a suceder ,al perdonar la vida de alguien,luego de una mala accion,"Si se hacen malas elecciones de sto, podemos sufrir consecuencias ",significado,perder el control,capacidad fisica,tener fe de que los problemas se van a solucionar,patrañas,Estado de animo,Beneficio,algo especial,hace que la gente nos crea en lo que decimos,existen escritas y de palabra,Las personas que lo sufren pueden llegar a situaciones extremas,brecha entre un estado actual y la posiblidad de uno mejor,velocidad excesiva,puede ser positivo o negativo ,esquema organizado para lograr un objetivo,Los humanos la poseemos,control,"Si es aceptada, se transforma en una decision ",sirve para mantener relaciones sociales estables,ser educado
1067,requiere compromiso de ambas partes,Lo realiza una persona despues de que alguien hace algo por el,acción que atenta contra tu bienestar,sentimiento frente a la adversidad ,perdón ,sentimiento,buenas elecciones de esto nos hace sentirnos plenos ,razon,pensamientos malos,Habilidad para una actividad,fe,muy común en personas irresponsables,Puede ser una respuesta a algo que se quiere o espera,recompensa o dinero por haber hecho alguna acción,sobresaliente,Sinceridad ,no esta sujeta a cambios,Puede influir en el la poca autoestima,se presentan a lo largo de la vida del individuo,amenaza,ahora estas teniendo uno,se realiza antes de ejecutar un trabajo o acción,uso de la lógica,en Chile no hay,Puede no estar correcta,se omite en muchos casos ,tienes que ser justo
1177,alianza,cortesía,es una situación peligrosa que algo trata de hacer contra otro,existen medicamentos para reducirla,se puede dar al sentir pena por alguien ,remordimiento,Deben ser tomas en base a nuestros verdaderos sentimientos ,su funcion es explicar conceptos,es lo que sienten las personas cuando están lidiando con su fobia,Conocido por tener fuerza y agilidad,buenas expectativas,algo que agrava las faltas,Alegría,esfuerzo que trae una recompensa,es una accion,Evidencia ,es imperioso complirlas,Se confunde recurrentemente con el enamoramiento,se pueden tomar o desechar,exposicion,idea,lo que realizo previmente organizando mis prioridades a ejecutar para lograr un buen desempeño de mi objetivo,entendimiento,empresa,opinión,puede ser alterada para conveniencia,ser innovador
1178,colaborar con alguien,Se da cuando a uno le benefició el acto voluntario de alguien mas,conjunto de situaciones que se intentan realizar para perjudicar a algo/alguien,la medicina no convencional dice tratarla ,ser empatico con alguien ,conciencia,diyuntiva,detallar algo,lo sentirías si estuvieras sumergido en el agua sin poder salir,habilidad para alguna actividad,Es cuando uno se convence a si mismo de que algo bueno va a suceder,puede ser una mentira,sentirse bien,puede ser una ganancia de valor material o inmaterial,algo distinto,Pureza,Deber,Lleva a conductas asociadas con la psicopatia ,No aprovecharlas genera remordimientos futuros,accidente,imaginación,sucesivo de acciones ,motor de cambio,estan en los conciertos,crítica constructiva,Es lo contrario a mentira,el resultado de la realización de nuestras aspiraciones
1179,entendimiento,Es un acto que los padres enseñan a dar a los hijos desde pequeños,estado de alerta ante una situacion estresante,visita al psicologo,Sentimiento culpa,te sientes mal,analisis,usado con frecuencia en pruebas academicas,lo sentirías si no te dejaran respirar,puede ser deportiva,ojala ,una razón,concepto de estar pleno,recompensa,innovador ,Expresa la verdad,Cuando tienes un trabajo y no puedes fallar,no poder de dejar pensar/querer  algo,genera incerteza dado que invita a los individuos a salir de su zona de confort,mala nota,"razonamiento,  conciencia",hay personas que lo poseen para organizar su vida ,se ve incrementada conforme a se adquiere mayor experiencia y educación,estan en los bancos,aporte positivo,Es un valor ,fama
1180,objetivos en comun,mostrar apreciación tras algo concedido ,"circunstancia, sujeto o persona que puede causar daño ",ataquede panico,Sentir remordimiento por algo,quieres hacer algo para no sentirla,vision,cada libro posee un glosario de esta,Sensación que produce disgusto,puede ser académica ,anhelo,el porque de una acción,llevar una sonrisa,percibir algun beneficio,poseer un reconocimiento,Puede traer sufrimiento ,Es una condicion ,Adicción,cuando se presenta una situacion beneficiosa,es lo que hay si estuvieras en medio de un incendio,divagación cerebral,proyecto,elemento distintivo de  entidades relevantes en la sociedad,confianza personal,nueva idea,"Uno debe siempre decirla, aunque duela",conlleva aprobación social
1181,benfecicio mutuo ,ser cortés con alguien que se ha portado bien con uno ,Estado de alerta,Desorden del pensamiento,Ocurre al enterarse o ver injusticias,le hiciste daño a algo,eleccion,nos ayuda a comprender cosas que no sabemos,Angustia,puede ser musical,pruduce calma,Disculpa injustificada,demostrar optimismo,"puede ser monetaria, física, espiritual",capacidad,Es dificil mantenerla ,Parte de un contrato ,algo que centra de manera total nuestra atención ,cuando se nos da esta situacion debemos aprovecharla,provoca palpitaciones rapidas,dar vueltas en la cabeza,proposito,permite tomar decisiones acertadas,camaras de vigilancia,aviso,Es algo bueno,ganador
1182,rendicion ,mostrar respetos de alguien que ha realizado algo para nosotros ,Se aproxima peligro ,Fijaciones ante un estimulo,valor muy importante,te hace sentir triste,apostar por una opcion,descripcion,La persona que la sienta puede estar nerviosa,capacidad innata ,te lo dan muchas cosas,Barrera del ser,compartir emoción,es subjetiva para cada persona y cosa,destreza,Opuesto a la mentira ,Parte de un fin mayor ,mantiene nuestra atención sobre lo normal ,poder viajar gratis,tiene consecuencias,cranear,intencion,promueve el desarrollo y la discusión,certeza en tus palabras,ayuda,Cuando una persona es sincera,triunfante
1183,se llega cuando no se puede hacer frente a una situacion ,gratitud,Próximo a ser atacado en cualquier aspecto,te pone inquieto,Piedad,te pones depresivo,incertidumbre en las opciones,caracterizacion,Necesidad de una solución inmediata,guarda relacion con el talento ,es bueno para ti,Pretexto,entusiasmo,puede señalar éxito,caracteristica positiva,Es un valor,Exigencia ,Los celos pueden ser una manisfestación de esto,una buena ocasión,miedo,flujo de información,prototipo,la tenemos solo los humanos,con la mente clara,consejo,es abstracta,muchas personas aspiran llegar a él
1184,credito,se lo das a alguien cuando te ayudan,Cuando se te advierte de algo ,Ganas de que las cosas sucedan rápido,Perdonar ,te reprochan ,direccionar,visualizar,Limite,habilidad logica en la resolucion de problemas ,te da alivio,Pérdida de confianza,euforia ,es una utilidad,ser bueno en un ámbito,Cualidad ,Se realiza por individuos ,Existen trastornos relacionados con este concepto ,algo que nos hace feliz,cuidado,subconciente,arduino,nos permite resolver problemas,policia,advertencia,Cuando una persona es franca (de franqueza),los mejores lo logran
1274,se llega por medio de negociaciones ,muchos creen deberiamos darselo a Dios u otra divinidad.,Cuando te sientes atacado,Nerviosismo,Ayudar,puedes llevarla toda la vida,posicionar,ejemplificar,Busqueda de ayuda,desenvolverse en una actividad en una forma determinada,es una motivacion ,Poca credibilidad,satisfacción,cotrario a la perdida,recurso trabajado ,Se suele poner en duda,No es necesario estar de acuerdo para cumplirla ,Necesidad de hacer algo ,algo que nos ayuda en todo aspecto,es una advertencia,"deseo, aspiración, sueño",trabajo,cuando se verifica que alguien estaba en lo correcto,otorga tranquilidad en el hogar,orientacion,cuando uno es honesto dice la ,se asocia con la riqueza
1275,medio para gobernar,cuando alguien hace algo bueno por ti tu le estas…,Te hace poner precavido ante una situación o varias ,Angustia,Decision,matar a alguien te la produce,pensamiento ,mostrar el todo de un elemento,histeria,cuando entrenas mucho se te produce una…,produce bienestar,Apela a los sentimientos,hacer reir,es algo bueno,destreza,virtud,Debe realizarse ,Pensar mucho en algo ,hay que aprovecharla,hay que pensar antes de actuar,desarrollar imagen en la cabeza,ingenieria,hace uso de la mente,los padres se la otorgan a sus hijos mediante la protección,direccionar,no mentir ,solo pocos llegan a él
1276,Un punto medio entre dos ideas distintas,debes darselo a alguien que es bueno contigo,Pretende hacer que sientas miedo ,Desesperación,Emocion ,realizas acciones buenas para contrarestarla,punto de vista u opinion,recapitular los rasgos escenciales,falta de control de sentimientos propios,los talentosos la tienen,muchos ya la perdieron,Innecesaria frente a la responsabilidad,estar con familia,te esforzaste para lograrlo,dominio heredado ,consiste en decir la verdad,Puede ser algo molesto,Pensar en algo todo el tiempo,chance,se puede evitar,Lo que ocurre en la conciencia ,borrador,predomina en el siglo 18 ,"evita asaltos, intranquilidad, malestar y/o daño",encaminar,algo que es asi ,las figuras televisivas y deportivas lo obtienen
1277,establecer parámetros en común con alguien,es bueno darlo,Situación de tensión,sentimiento que provoca nervios,Libertad,sentimiento causado por un arrepentimiento,cuando una persona elige algo ,estructurar,estar bajo presion,se obtiene con la practica,es importante no perderla,Motivo frente a irresponsabilidad,estar con amigos,normalmente se asocia al dinero,facilidad frente a algo,rectitud,No es algo planeado ,Forma poco sana de querer hacer algo ,chance sobre algo,advierte riesgos,La mente trabaja con el…,boceto,sucede cuando pensamos,certeza sobre algo,enseñar,Pocas personas lo hacen,Sensacion enriquecedora
1385,tratado,se lo dan hijos a sus padres,advertencia,estado en el cual una persona se encuentra con ansias,Autoestima ,ser responzable de una acción ,es algo de cada persona ,armar,no saber que hacer,algunas personas la adquieren innatamente ,todos la necesitamos,Se opone al hacer,pasarla bien,te lo puede dar una persona en forma de gratitud,don ,no mentir,Trae consecuencias ,Cuando se piensa mucho en algo que me gusta,algo que se debe aprovechar,es una advertencia,Proceso cognitivo,proyecto,bases solidas,pocos robos,ver visiones desde otros puntos de vistas,Es algo muy valorado,Sucede a un logro 
1386,convención ,no todos lo dan,regaño ,no es una sensación agradable,Alivio  ,Sentimiento negativo,todos podemos tener esta pero pueden ser iguales o distintas ,construir,angustia,lo demuestras cuando haces bien alguna actividad,Posibilidad de éxito,Busca el perdón,sonreir,un premio,sobresalir,principio moral y religioso muy extendido,constricción,Cuando quiero mucho repetir algo me provoca una ,no pasa dos veces,evita sufrimiento o molestias ,mente,conjunto de ideas que podrian realizarse,estar en lo correcto,certeza,Consejo,Muchas veces se le asocian a las personas que son directas con sus palabras,Las personas con muchos proyectos positivos lo tienen
1387,se puede firmar ,es bueno sentirte asi en tu vida,restringir ,sobreevaluar situaciones,Dolor ,resulta de un mal acto provocado por una persona,lo haces todos los dias ,concepto de algo,creer que ya no existen mas posibilidades,los deportistas buenos la paseen,Relacionada al color verde,Cuando uno quiere librarse de algo,bienestar,te hace sentir feliz,enseñanza superior ,lo que se anhela de toda persona con quien uno se relaciona,deber,Es una enfermedad,se le puede entregar a alguien bajo la premisa que cumpla,una situacion que genera miedo,neuronas,panorama,argumento,confianza,Advertencia,Es una respuesta sobre lógica,realizacion 
1388,se cierra con un apretón de manos,atrae que hagan mas cosas buenas por ti,castigar ,sobreevaluar comportamiento del entorno,Sentimiento ,Las personas que la sienten parten por el arrepentimiento,es un ultimatum,descriscripcion de algo,falta de control de la situacion,significa casi lo mismo con talento y practica,Es lo último que se pierde,Decir algo para poder aunsentarse a algo en donde me había comprometido,No estar preocupado por algo,tuviste suerte,manejar algo por sobre los demás,ser sincero,carga,Trastorno mental,el afectado debe realizar acciones para mantenerla,sensacion de inseguridad frente a algo o alguien ,sinapsis,acciones a segui,lógica,convencido,Cuando doy mi opinión,Uno espera que los políticos siempre nos digan esto,Genera tranquilidad en las personas
