adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
,superación,presión,['todo persona capaz jugar'],trabajador,analizar,['fluido'],humano,dar valor,figurar geométrico,['estafa'],juego prenda,['valentir'],chirrido,igualdad,figurar rectangular,barrer pelo,embarazado,estudiar naturaleza,conversación,recordar,vestimento,jueves,comunidad,responsabilidad,,prehistorico,abuela,blanco,creer,lechuga,costurero,diversion,,mujer,enfrentamiento,acercamiento,beb,risa,['magia'],personificación,planiciar,presencia,cuaderno,heroismo,tratar mantener él alto,evitar deber,hipocritar,arte,pariente gato,cosa buena,pasion,planeta,muerte,sal,fuego,permitir crecimiento,['tormenta'],aclarar,parte físico mecánico,convencer,entrar,curiosidad extremo,llorar,negocio,levantar él,planiciar,claridad,pena,['foráneo'],considerar familiar pesar ser él,tomar buena decisión,maldad,posición,['nervioso'],hecho común,"['grad potencia', 'gran poder']",manera comportar él,lider,falso,mentira,húmedar,lent optico,,['creado admiracion'],,agua estancado,reliquia,terreno grande,habilidad,persona sient poder tener arma,mundo,comunidad,frase indicar hecho,tarea,reloj,protestar,agua,reingresar,discresión,['rebotar'],['jadeo'],imitación,ajuste,higienir,['pequeño'],voluntario,frágil,nato,respirar,falta seguridad,cualidad idiota,pagar impuesto,['adulto'],correcto,atacar noche,revista,trotamundo,opuesto aceite,ficticio
,lograr mantener él firme,fino,['jugar él tener mente fer'],obrero,frontera,['emisión'],viejo,perfeccionismo,asociado cara,['deportivo'],ropa,['proeza'],comunicación sensitivo,prejuicio,historia,masculino,grasa,estudiar animal,risa,crimen,bata,viernes,comunion,instrución,,arqueologia,caliente,guagua,brujo,verdura,llevar ropa ajustar él,entretencion,,sabroso,odio,especificación,perro,risueño,['atrapar psicologicamente'],ente,atento,fantasma,pasta,fanatismo,característico social,acto ilegal,lado personalidad,esperpento,pariente león,suceso buen,racha,asteroid,miedo,poquito,carbón,activo característica sexual,['estructura gran tamaño compuesto aire'],pista,físico,inspiración forzado,trabajo,emoción saber,nostalgia,informativo,levantar,llano,cognición sano,llanto,['luto'],asignar mujer,aceptar realidad,peor humano,orden,['cachete'],excepción,['traer sufrimiento planeta'],poder ser buen malo,poderoso,inventar,callado,ocupar grande extensión terreno,limpio,,['importante'],,mucho vegetación,arqueologia,casa descanso,conocimiento lograr,objeto ataque,existencia,pobreza,,companero,movimiento rítmico,queja,movimiento,repetir,prudencia,['amortigua'],['ruidoso'],original,sueldo,salud,['fruta'],desastrar,poseer argumento contenido,confianza,pequeño desahogo,falta dominio,hacer inteligente,dinero,['aburrido'],pertinente,ciego,deporte mujer,aventurero,servir aliñar,importante
,pelea,delgado,['molesto mano'],constructor,poder lograr,['caudal'],adulto mayor,capacidad realizar,objeto,['político'],abrigo,"['digno héroe', 'ína']",lenguaje paraverbal,derecho,pai,antiguo,guato cervecerar,poder ser profesor,artista,muerte,pijamar,diversion,rezo,conocimiento,,apertura profundo,almuerzo,pico,muneco,viña,modificar tela,casino,,agrado,pelea,importante,nectar,miedo,['gusto alguien'],ser,fijar él,mal gusto,escalera,poder,poder perder,hacer impuesto,mostrar capacidad social,simpleza,animal intuitivo,riqueza,constante,órbita,autoridad,medida,noche,generar cuerpo animal,['unido'],camino correcto,movimiento,infuencia,moneda,ignoranciar querer saber,arrepentimiento,pancarta,subir cosa,zanja,tener sueño,sueño,['sentir él triste mal persona animal'],familia cercano consideración político,enfrentar problema,muerte,precepto,['cara'],dios,['guerra'],actuar persona,rey,montar objeto,energía,usualmente aparecer mañana,claro,,['imperio'],,arbol,,trabajar tierra,habilidad expertar,instrumento controlar violencia,habitat,población,,profesor,permanecer movimiento,derecho dar inconformidad,rápido,reintegrar él,deposito,['comprime'],['agrandamiento'],objecion,platar,cuidado,['verdura'],inundación,físicamente estable,atraccion,señal buscar calma,sentimiento,golpear accidentalmente,regalo,['firmar'],aceptable objetivamente,mounstruo,sensacion,persona ir lugar,color oscuro,común
,resistir,abejo,"['rey caer', 'significar fin juego']",personaje popular,costar hacer,['temperado'],tercero edad,resiliencia,punto visto,"['flor', 'distinto flor']",vestidura,['temerario'],quejido,medición,nacion,,hinchazón,estudiar ciencia básico,pícada,descomposición,blús,relajo,oratorio,mandama,,oscuridad,invierno,ala,miedo,canasta,,comida gratis,,sopar,confrontacion,precision,azucar,temor,['preferencia'],individuo,lugar fisico,sorpresa,circular,grandeza,,evitar pagar,habilidad siempre mostrar,antiestetico,asociado sensualidad,tener bien,rapir,vía láctear,conciencia,pequeño,frío,ser humano,['destruccion'],suspicacia,llevar velocidad,consecuencia,banco,desear saber desconocido,tristeza,aviso grande,mover hacia arriba,animal,racionalidad correcto,lubricación,['inconformidad'],temible,ser consecuente,avaricia,mandamiento,['deber poner'],iglesia,['barco'],,autoridad,ensamblar,,asociado frío matinal,brillante,,['realeza'],,fanguir,,animal,saber,instrumento desatar violencia,escenario,aldeir,,aula,ir lado volver,posibilidad servicio,reflexion luz,volver destino,provisión,['almacenar energía elástico'],['pelea'],terremoto,dinero,limpieza,['plantar'],ayuda,poder ser destruido facilidad,agarrir,tranquilidad,miedo,cualidad bruto,banda musical,['esperar'],,chupar sangre,forma ser persona,caminar,servir ensalado,
,sostener,pinchazo,"['juego mesa', 'enfrentar dos persona']",labor necesario,lograr,['cansancio'],experiencia,inteligencia,diferir,['ir correr ropa deportivo'],pantalón,['sobresaliente'],lamento,pesar,telar,,lleno,inteligente,restorán,cuerpo,pijamar,comida,ermitir,saber mejor equipo,,eco,papa grande,pata larga,gente ingenuo,dinero,,conocer,,rico,valor,certero,dulce,extrañar,['hechacer'],sujeto,paisaje,miedo,vuelta,figurar,,zafar él cobro legítimo,aptitud variado persona,atroz,peligroso según tamaño,patrimonio,enajenacion,estrella,respetar,hormiga,ceniza,parte cuerpo,['tapar ventana'],huella,necesidad fuerza mover,seducción,poder,provocar hecho llamativo novedoso,arrepentimiento,hacer material duro,,africo,comprensión vivo,llanto,"['saca 4 amigo 3', '9', 'siet lastimo']",pariente lejano,,enfermedad,decreto,['boxeo'],sorprendente,['segundo guerra mundial'],,jefe,hacer escenografía,,miguel unamuno,claridad,,['magnificencia'],,vegetación acuáticar,,alejado ciudad,producto conocimiento inteligencia,instrumento,cuerpo rocoso,lugar,,escuela,mover permanentemente,exigencia mejor servicio,reacción rapido persona,volver,repuesto,['empuja'],['revuelta'],respuesta,mensual,gozar buen salud,['crecer'],sos,característico mantener forma,sogar,,dar mas niño,acto carente cuidado,muerte,['sacar documento'],,ser mitologico,,vacación,,
,durar,dolor,"['juego mesa', 'enfrentar dos persona']",construir casa,poco distancia,['olor'],menopausia,liderazgo,multipl,['vestir'],chaqueta,['guiado instinto'],lobo,kilograr,representar,,avión,investigador,after,difuntir,largo,cerveza,religión,hacer caso,,frio,agradable,nacimiento,magia,temporero,,vacación,,caloria,orgullo,parte,chocolate,nostalgia,['bruja'],empresa,ambiente,asustar él,encierro,personificación,,delincuencia,interpretación suceso,horrible,animal alto grado independencia,ser acaudalado,furio,sol,consecuencia,piedrita,calor,cambio humor,['viento'],sintomar,pesado,venta,dinero,investigación,juan cuidar él coronavirus enfermo,carretera,,ambiente fauna diverso,ebrio dormido,gota,['pena'],mamá postizar,,maldad,ley,['beso'],impactante,['enemigo'],,realeza,mentir,,temprano mañana,transparente,,['castillo'],,cocodrilo,,,producto conocimiento inteligencia,bala,cuerpo celestar,habitado,,asiento,servir hipnotizar,hacer servicio mal hecho,respuesta automático persona estimulo,trasladar él,ahorro,['sostener'],['movimiento'],repetir,trabajo,sano,['agua'],help,nivel dureza,cuerdar,,sensacion,dibujo animado,funeral,['hacer fila'],,esconder luz solar,,aventura,,
,mantener,punta,['mente'],maestro,facil llegar,['comida'],infertilidad,perseverancia,forma,['reparar'],ropa,,perro,fruta,pai,,alcaldesar maipu,bata laboratorio,cañar,resto,abuela,alcohol,culto,liderazgo,,misterio,pollo,largo vuelo,brujo,fruta,,caribir,,caro,fuerza,fragmento especifico,cariño mama hijo,enojo,['seducción'],persona juridico,rodear,fantasma,repetición,arte,,transantiago,punto visto hecho,forma extraño,garra uña afilada,suerte,asesino,infinidad,arma,arena,quema,biologia,['miedo'],vestigio,cambio,manipulación,dinero,detective,sentir,informar acerca ubicación,,pasto verde,característico despierto,liquido salir ojo,['compasión'],diferente,,egoísmo,deber cumplir,['mujer'],imposible,['explosión'],,reina,armazón,,tenebroso,informativo,,['mansion'],,rana,,,capacidad conseguir,muerte,mundo,concurrido,,incomodo,encontrar reloj antiguo,exigencia responsabilidad,copia imagen,venir,almacenamiento,['comúnmente metal'],['escapado mano'],consentir,grande,servicio estatal salud,['transformar él'],peligro,fuerte,agilidad,,,golpear él cabeza,homenaje,['perder tiempo'],,aparecer cuento,,avion,,
,soportar,clavar,['guerra'],plomero,brazo,['tufo'],afabilidad,testarudo,escenario,['perro romper pata arreglársela'],estilo,,noche,verdura,pater,,,fauna marino,,muerte,diseño,suciedad,fe,empatiar,,fondo,arroz,estilizado,fantastico,plantación,,calir,,unico,mascar,parte necesario,contrario amargo,feliz,['casa embrujada'],juridico,génetico,mounstruo,plástico,imagen,,metro,fingir,canon estetico,canino afilado,azar,odio,oxígeno,bala,,inquisición,sangre,['desabastecimiento'],señal,estudio físico,heterea,entrar estudiar,curiosidad,disculpa,usar publicidad,,seco,despierto,transparente,['tristeza'],pariente extraño,,traición,poder pasar alto,['terso'],sobrenatural,['dirigido'],,lider,espectaculo,,extenso,foto,,['edificio'],,barro,,,éxito,amenazar,astro,caserio,,zurdo,expresar tiempo,sernac,espejo,volver,todavia propiedad persona,['metal brillante'],['cahuin'],aprobar,adulto,salubridad,['comestible'],grito auxilio,personalidad,destreza,,,tonto,servicio impuesto interno,['documento'],,ser vivir,,mapa,,
,fuerza,defensa,['oponente'],mario bro,capacidad llegar lado,['apoyo'],cana,fuerte,relativo persona,['trato'],outfit,,luna,supermercado,nación,,,alto,,persona muerto,blanco rosado,borracho,esperanza,naval,,tierra,frio,volar,invocacion,recoger sembrar,,comida extraño,,duracion cortar,sinvergunza,precisión,ternura,corazón,['mago'],responsabilidad,desarrollamos,sobresalto,curir,escultura,,fraude fiscal,actor,oculto,peludo,destino,impureza,espacio,jalar,,humo,circular,['norte americar'],evidencia,físico,inconciente,puerta entrada,duda hecho,acción demostrar sentimiento tristeza,grande,,montaña,claridad idea,dolor,['fracaso'],joven,,alcohol,restricción,['tocar pensar'],intervención divino,['f16'],,soberano,escenario,,silent hill,4k,,['casa real'],,oscuro,,,perseverancia,peligro,gira alrededor estrella,gente,,pequeño,símbolo tedio,grito,agua,volver lugar,pronto ser,['toy story'],['asombro'],,minimo,salud ente,['alimento'],alerta,estabilidad,habilidad,,,tropezar él,contribuir pai,['dinero'],,ver imagen espejo,,maleta,,
,machacar,atacar,['inteligencia'],azul,esfuerzo,['grito'],muerte,capacidad,percepción,['juegos olímpico arreglado ander'],chaqueta,,alerta,codigo barra,color,,,persona preocupado medio ambiente,,año,pantufla,cigarro,creencia,barco,,,caliente,ave,demonio,recoger,,playa,,infrecuente,chantar,cautela,bondad,humano,,responsable,seguro,terror,hélizar,arte,,escapar,mentira,asimetrico,paciente,platar,enojo,cielo,pelea,,fuego,pequeño,['clima'],mostrar,resistencia,deliberado,pasillo,cualidad persona,sentir pena,cartel,,diverso clima,persona atento,pena,['perdon'],pequeño,,malo intención,limitar,['cachete'],inexplicable,['bengala'],,opresión,falso,,película terror,video,,['mostrar poder'],,sucio,,,inteligencia,guerra,cuerpo gaseoso,poblacion,,bajo,antiguo,demorar,luz,volver,gente poder reservar opinion,"['resortin', 'mascota olímpico simpsons']",['desordir'],,trabajo,promover saludable,['verde'],bien,cuadrado gris,suelto,,,sujeto calvo,reconocimiento,['demorar'],,,,hotel,,
,dar él,punzante,['estrategia'],sujeto grande,mano,['animar'],abuela,beneficio,solución,['flor'],moda,,aviso,número decimal,himno,,,limpio,,lla existir,tom jerry,hombre,idiosincracia,pirata,,,diar lluvioso,traer beb,maldicion,comida,,bikini,,vicio,colusion,especificar,cariño,animo,,ser,peligroso,aumento ritmo cardiaco,linea curva,piedra,,evitar,actitud desleal,persona,adorab él,riqueza,rabio,astronauta navegar,odio,,quemar persona,parte pubertad,['pánico persona'],prueba,movimiento,,proceso admisión,sentimiento busqueda,reclamar dolor,papel letra,,plano,inteligencia,humedo,['dejar pasar'],sencillo,,odio,orden,['parte cuerpo'],salvo morir,['destruccion'],,dinero,actuado,,calle desierta,gusto,,['hogar monarca'],,agua,,,búsqueda,pólvora,satelitir,lugar residencia,,basico,reloj grande,producto engañoso,ver él si mismo,ir pasado,gente reservado contar,['automóvil'],['juzgar'],,dinero,lucid mental,['planta'],asistencia,concreto,baile,,,homerir simpson,ofrendir,['proceso'],,,,saco dormir,,
,resiliencia,peligro,['tablerir'],bruto,distancia,['fan'],vejez,inteligencia,diferente,['reparar'],esteriotipo,,pena,poner comparación,significar,,,explorardor,,fin vida,dentro casa,trago,estupidez,sombrero,,,choclo,blanco,diablir,maiz,,bronceado,,satisfaccion,corrupcion,gesto,afecto,grande amor,,omnipresente,desarrollo,amenazar,figurar,madera,,malo depender caso,comportamiento interesado,encorbado,peludo,gente mata,aventura,galaxias infinito,rabio,,tortura,regulador emoción,['ver cosa volar'],,cuerpo,,sueldo,reflexión,perder alguien,indicación,,amplio,falta duda,salado,['lamentar muerte'],segundo madre,,rencor,dar capitar,['sonrojar'],explicación,['matar'],,persona cre derecho poder,pelicular,,cancha futbol ocultar,movimiento,,['hogar soberano'],,potable,,,perito policial,desenfundar,objeto astronómico,parte pai,,colegio,elegante,derecho consumidor,actuar inconscientemente,recordar,guardar puesto,['tecnología'],['rechazo'],,jefe,lugar limpio,['sembrar'],remedio,edificio,musico,,,despistado,dios,['servicio'],,,,lent sol,,
,soportar,filudo,['rey'],técnico,longitud,['admiración'],frágil,cualidad,varios,['corregir'],edad,,tono agudo,equilibrar,respetar,,,experto,,asesinato,comodidad,cantinero,fantatismo,mar,,,sopar,ala,maldad,temporero,,lent,,comida,copiar,rasgo,sentimiento,emocionado poder ser alguno tipo sentimiento,,malignar,naturaleza,horror,convergir centro,poder hecho dicerso material,,octubre,variedad actitud personalidad,juzgar,tierno,gente volver egosita,enagenado,forma describir conjunto espacio exterior particular,enfrentamiento,,malo,químico,['destrucción'],,mantener él,,contabilidad,difícil resolver,quejar él,grande,,prar,corresponder ámbito idea,sollozo,['compadecer él'],acompañante,,daño,cumplir,['apretar'],dios,['guerra'],,dictadura,ajeno verdad,,dificultar visibilidad,enfoque,,['vivir reyes reina'],,apto baño,,,legislación,viejo oeste,cuerpo semi circular,idioma comun,,mesa,físico,fallar promesa,golpear rodilla,volver hacer,guerdar alguien,['medio transporte'],['contracorriente'],,oficina,bienestar mental,['vida'],,perfeccionismo,alcohol,,,accidente,religion,['nececidad'],,,,disfrutar,,
,mantener él,dolor,['vencer'],torpe,importante,['barra'],amoroso,ser competente,line,['llegar acuerdo'],color,,cantar mal,símbolo justicia,identificar,,,científico,,tiempo llego,ridiculo,desordir,perdido tiempo,naveír,,,familia,pico,oscuridad,campo,,bucear,,postre,regla,determinar,,normalmente provocar acción,,benigna,,,,escultor,,omitir,cara distinto,apuntar,gato tamaño,servir,velocidad,planeta tierra encontrar,circular,,,inestabilidad,['viento'],,fuerza,,señalético,dudoso,llorar perdido,llamativo,,alejado,tener noción,,['ser misericordioso'],incondicional,,apropósito,jefe,['pomulo'],nunca ver,['muerte'],,castillo,producido,,propio naturaleza,profesional,,['realeza'],,frecuentado,,,abogado,matar,existir,poder ser rural ciudad,,silla,ir venir vida,exigencia derecho,parar objeto,ir volver,poder reservar derecho hablar,['maquinaria pesado'],['status quo'],,camisa corbata,gente metal,['fruto'],,poco flexibilidad dificultad,relajado,,,precavido,humano,['urgencia'],,,,nunca quitar,,
,persona insoportable,cuidado,['estudiar rival'],fuerte,influente,['mal olor'],,capacitado,figurar geometrico,['ordenar'],diseño,,perro,equilibrio,nacional,,,especializado,,organo,camisa grande,pelea,iglesia,marino,,,casero,pluma,miedo,hectaria,,cha él,,dulce,egocentrico,aclarar,,sentimiento,,poderoso,,,,representar,,sobrepasar,mascara,ignorar,diente grande puntiagudo,comprar,sexo,star wars,decisivo,,,relativo ser vivir,['escombro'],,resistencia cambio,,ganancia,incertidumbre,arrepentir él,color chillón,,vegetación,claridad,,['tener piedad'],auxiliar,,demonio,presidente,,poder,['sangre'],,reyes reina,natural,,humedad,admiracion,,['arquitectura gotico'],,animal,,,habilidad,robar,espacio,poder ser rural ciudad,,alumno,fortuna,vtr,ser rápido,volver raiz,poder decir informacion,['fuerza'],['gallina'],,sentado frente computador,importante especial tiempo pandemiar,['comenzar'],,irrefutable,comodo,,,descuidado cosa,vestimenta,['hacer él'],,,,distinto,,
,paciencia,atento,['capturar rey'],constructor,cerca,['profesor'],,trabajar,bordar,['adorno'],talla,,zorro,peso,signo,,,experimentador,,descomposición,ropa masculino,cerveza,fe,autoridad,,,chileno,aparecer cuento,hechacer,preparar él invierno,,barco,,pequeño,mentira,minucioso,,ansiedad,,destructivo,,,,historia,,evitar,forma ser,diferente,diente grande puntiagudo,trabajo duro,pasion,estella,arma,,,humano,['alto velocidad'],,peso,,inicio,misterio,escuchar alguien reclamar,señal transito,,relajo,capacidad,,['caridad'],asir,,,orden,,esperanza,['persona'],,titulo nobiliario,persona medio,,densar,sensacion agradable,,['estructura gigante'],,flora,,,conocimiento,arma,forma esfera,chile parte comuna,,clase,infinito,producto intenet,revés,retroceder,guardar,['físico'],['mujer'],,horario,pulcrir,['cultivo'],,duro,pasar él bien,,,estupidez,ritual,['obligacion'],,,,mundo,,
,control personal,miedo,['juego'],dedicado,fácil tener él,['menta'],,desarrollar,filo,['roto'],vestido,,animal,justicia,pai,,,doctor,,podrir,ropa femininar,alcohol,pequeño,respetar,,,fuerza,esperanza,brujo,granero,,mar,,chupar él dedo,color rojo negro,pulcrir,,llorar,,pacificadora,,,,piedra,,escapar,habilidad,incomodidad,atun,falta empatiar,fiesta,planeta,activar,,,generar cambio,['medioambiente'],,dificultad,,dinero,secreto,perdon,función publicitario,,terreno,conciencia,,['pena'],acompañar,,,obligación,,alegrio,['matanza'],,revolucion,montar,,afectar visibilidad,ojo,,['estar hecho piedra'],,frecuentado,,,capacidad,matar,giran alrededor estrella,chile parte región,,profesor,cuerdar,mal servicio,dimensión,hacia atra,provición,['newton'],['comentario'],,blanco negro,desinfectado,['cosecha'],,mateer,autentico,,,idiotez,tipico,['lento'],,,,país,,
,fuerza,hinchazon,['inteligencia'],esforzado,llegar lejos,['chic él'],,poder medir,plano,['mecanico'],status,,llamado,derecho,equipo,,,profesional,,muerte,dormir,ebrio,colegio,amigo,,,abuela,nuevo integrante,humo,recolectar,,puerto,,sonrisa,descarado,prestar atención,,involuntario,,conquistadoro,,,,marmol,,salir,debilidad,feo,selva africano,corroe medio ambiente,musico,lugar,presionar,,,madurez,['natural'],,resistencia movimiento,,persona,crimen,daño,calle,,bioma,comprensible,,['pena'],padrino,,,autoridad,,magico,['destruccion'],,poderoso,proposito,,nube,claridad,,['mitologia decir dragón'],,cazar,,,genio,defensa personal,satelit natural,ocupado,,cuaderno,movimiento constante,alegar,espejo,,resguardo,['generar salto'],['mezclar'],,aburrimiento,medicina,['arar'],,firmeza,cerrar ojo,,,falta habilidad,caracteristico,['facil'],,,,distinto parte,,
,resistencia,abejo,['estrategia'],trabajo,poder llegar lugar,['lavado diente'],,diciplina,lado,['acuerdo monetario'],disfraz,,pelicular zootopia,ley,comunidad,,,experienciado,,cuerpo,pijamar grande,bartender,barrio,encargado,,,papa,,color,temporada año,,diversión,,compartir,cara rajar,perfecionista,,anímico,,existir,,,,poder,,ocultar,propio persona,malo acción,buen visto,riqueza,pensar,inexplorable,impulsar,,,reproducción,['muerte'],,fisicar,,local,curiosidad,tristeza,señalético,,extensar,explicable,,['persona'],segundo madre,,,tarea,,mundo,['pena'],,corona,animal,,frio,definición,,['varios torre'],,salvaje,,,ayuda resolver problema,humano,tierra,acumulado,,solo,único físico,exigir solución,emoción,,si acaso,['perfectamente alinear'],['batir'],,cansancio,psicologia,['sembrar'],,resistente,levantar brazo,,,propio torpe,venerar,['proceso'],,,,caminate,,
,apoyo,animal,['dificultad'],obrero,meta corto plazo,['poco distancia'],,responsabilidad,rectangulo,['amononar'],aparentar,,noche,equitativo,arraigo,,,culto,,final,descanso,barra,catolicismo,responsable,,,carne,,cuento,orden,,vacación,,felicidad,filtro,importancia,,felicidad,,lugar,,,,conmemoración,,huir,arista,defecto fisico,cazador,poder,verguenza,oscuro,disparar,,,inyectabl,['caos'],,movimiento,,ganancia,inteligente,tristeza,informativo,,animal,propio humano,,['sentimiento'],seguridad,,,hacer él,,extraordinario,['defensa'],,unificador,armar,,oscuro,limpieza,,['antiguo'],,suciedad,,,respuesta rapido,policia,vida,repleto,,unifor yo,movimiento,propio problema,fisico,,pedir él antelación,['impulsor'],['agitar'],,sueldo,mente,['fruto'],,duro,cintura,,,inhábil,alago,['resultado'],,,,disfrutar,,
,perseverancia,volar,['pieza'],equipo,llega justo tiempo,['importante'],,habilidad,figurar tres dimensión,['mejorar'],elegante,,luna,mismo parte,simbolir,,,estudioso,,enfermedad,prenda holgado,banco,religion,guía,,,cuchar,,oscuro,fruta,,relajo,,color,falta respetar,meticuloso,,reacción estímulo,,,,,,arte,,hacer quitir,posibilidad,anomaliar,dormilón,egoísmo,disfrutar,mistico,percutar,,,clasificar,['tristeza'],,seguir vuelo,,mercado,oculto,llorar,auxiliar,,,activo,,['emocion'],desconocimiento,,,restricción,,fantastico,['aniquilacion'],,absoluto,escena,,silent hill,transparencia,,['moderno'],,agua estancado,,,solucion problema,ladrón,ecosistema,mucho cosa,,inmovil,objeto,último instancia,quererme,,callado,['elástico'],['remover'],,renta,limpieza,['planta'],,resistente,suelto,,,inaptitud,ofrendir,['tiempo'],,,,amplio conocimiento,,
,musculo,observar,['tactico'],construccion,si alguien poder pasar tú cerca,['controlar él'],,conocimiento,grafo,['reparar'],ocasion,,postura perro,repartido,organizacion,,,estudiar vida,,accidente,prenda casa,musico,religión,marinero,,,caliente,,magia,verdura,,descanso,,olor,respetar,parte,,ir suceder,,,,,,david,,saltar,opción,irregularidad,gato,suerte,momento,nasar,detonar,,,propio cada género,['suciedad'],,reposo,,movimiento,astuto,perdido,entrega información,,,mental,,['sensacion'],bautizo,,,castigo,,maravilloso,['conflicto'],,importante,preparado,,lluvia,brillo,,['dinero'],,rana,,,dificultad,ejercito,fragil,denso,,aburrido,fisicar,alegar,sentimiento,,discretir,['flexible'],['amalgamar'],,pago,cuidado,['agricultura'],,consistencia,habilidad,,,opuesto aptitud,recordar hacia alguien,['documento'],,,,cultura nuevo,,
,grande,punta,['enfrentamiento'],ladrillo,necesidad hacer esfuerzo tener él,['respiracion'],,sabidurio,dijkstrar,['contrato'],importancia,,lobo,dividido,ondenate,,,salud,,vida,variación pijamar,historia,sacerdote,kraken,,,campo,,sombrero punta,planta,,conocer gente nuevo,,postre,loco,fragmento,,rabio,,,,,,dictador,,esconder,alternativa,desprolijo,pumas,familia,desproporsion,año luz,fuego,,,biologia,['masa viento'],,energiar,,positivo,escondido,oportunidad fallido,visible,,,rapidez,,['oportunidad perdido'],religion,,,pena,,religioso,['dirigido'],,medieval,instalación,,mojado,puro,,['grande'],,sapo,,,habilidad,militar,poseer gravedad,espeso,,asiento mesa,circunferencia,enojo,apreciar,,guardar,['mover energía'],['alborotir'],,mesado,atención,['campo'],,inamovible,desenvolturar,,,incompetente,impuesto,['formal'],,,,persona nuevo,,
,entrenamiento,puntiagudir,['duelo'],obrero,mano,['bocar'],,aprendizaje,,['entidad'],relevancia,,camado,juicio,asta,,,celula,,muerte,polera largo,seducir,comunidad,barco,,,comida,,estrella,herramienta,,capitán,,almuerzo,telenovelar,porcion,,sorpresa,,,,,,perfección,,escapar,episodio,trabajo mal hecho,habilidoso,dinero,locura,cohete,cuidado,,,salud,['destrucción'],,falta movimiento,,abierto,sorpresa,pasado,ayuda,,,astuto,,['poder ser'],iglesia,,,diligencia,,inexplicable,['daño'],,europeo,querer mostrar real ser falso,,vision,definido,,['lujoso'],,cocodrilo,,,experiencia,arma fuego,espacial,habitado,,silla colegio,energiar,molestia,defecto,,lugar preservación,['energiar'],['perturbación'],,haber,limpio,['germinación'],,hielo,destreza,,,dificultad hacer tarea,impuesto,['tedioso'],,,,aventura,,
,energiar,abeja,['tiempo'],trabajador,dificil,['inspiracion'],,metodologia,,['negocio'],caro,,grito,pesar,representar grupo,,,molecula,,putrefacción,blanco,compartir,ayuda,frankenstein,,,pollo,,poción,huerto,,viaje,,comida,cachetado,importante,,sentimiento,,,,,,inmóvil,,miedo,momento,hacer malo,flexible,bien material,descontrol,espacio,peligroso,,,sentimiento,['peligro'],,cuerpo,,tiendar,regalo,haber aprovechado,cartel,,,inteligente,,['aprovechar'],familia,,,,,extraordianario,['peligro'],,soberano,pelicular,,clima,borroso,,['real'],,lento,,,capacidad,polvora,lejano,vivir grupo ahí,,silla universidad,reloj,retroalimentacion,atributo,,guardar información,['rebote'],['asombro'],,sueldo,salud,['tierra'],,maquín,agilidad,,,tonto,gasto publico,['clave único'],,,,naturaleza,,
,tolerancia,avispa,['tablerir'],esfuerzo,,['muerte'],,capacidad,,['actualizar'],vestimento,,noche,equilibrar,representar país,,,cientifico,,dolor,botón,bar,auxilio,,,,contundente,,bujeria,granjar,,mar,,rico,mentira,pequeño,,sensacion,,,,,,vida,,cobarde,lado,subjetivo,saltador,éxito,pasión,gigante,pistola,,,secrecion,['fuerza'],,actuar pensar,,vivienda,,vuelta atra,informacion,,,sutil,,['perdido'],vinculo,,,,,suceso,['explosivo'],,rey,clip,,bosque,claro,,['europeo'],,pegajoso,,,practicar,matar,grande,hogar,,escritorio,sonido,problema,unico,,,['fuerza'],['desordir'],,dinero,bienestar,['felicidad'],,constante,rapidez,,,lento,beneficio publico,['empresa'],,,,libertad,,
,sufrimiento,insecto,['regla'],sol,,['palabra'],,inteligencia,,['regalo'],ropa,,terror,justicia,símbolo patrio,,,medioambiente,,repulsión,plancha,venta alcohol,desamparado,,,,comida tipico chileno,,bruja,verde,,barco grande,,satisfactorio,verguenza,minucioso,,felicidad,,,,,,,,evitar responsabilidad,cara,hacer daño decir él,ágil,orgullo,delirio,planeta,disparo,,,celular,['espiral'],,costumbre,,entrada,,cambio,señalizacion,,,claridad mental,,['pena'],amigo mama papa,,,,,destino,['guerra'],,reina,cine,,miedo,facil ver,,['piedra'],,dejar avanzar,,,destreza,peligroso,esferico,lleno,,mesa,distraccion,solucion,agua,,,['estirar'],['alborotir'],,mensualidad,pureza,['nuevo'],,validez,tranquilidad,,,habiloso,salud,['emprendimiento'],,,,conocer cultura,,
